clause_id_final,iaa_batch_id,label_gold,label_pred,agree,clause_pred_raw,confidence,clause_text,clause_text_normalized,sentiment_polarity_hint,text,error_type,priority
74.1386_c1,,NEUTRAL,POSITIVE,False,POS,0.7621,hương vị:giấm táo,hương vị:giấm táo,NEU,hương vị:giấm táo,NEU_as_POS,0
45.47_c2,,NEUTRAL,POSITIVE,False,POS,0.789,trái vừa phải,trái vừa phải,NEU,trái vừa phải,NEU_as_POS,0
47.596_c4,,NEUTRAL,POSITIVE,False,POS,0.8629,vị hơi chua hơn táo nhỏ,vị hơi chua hơn táo nhỏ,NEU,vị hơi chua hơn táo nhỏ,NEU_as_POS,0
70.247_c1,,NEUTRAL,POSITIVE,False,POS,0.8929,lần đầu tiên ăn cũng tạm được,lần đầu tiên ăn cũng tạm được,NEU,lần đầu tiên ăn cũng tạm được,NEU_as_POS,0
67.2115_c3,,NEUTRAL,POSITIVE,False,POS,0.9195,vị ngọt,,NEU,vị ngọt,NEU_as_POS,0
105.348_c1,,NEUTRAL,POSITIVE,False,POS,0.9195,thành phần gạo lứt sấy khô pha trà với nước nóng chờ phút là có thể,,NEU,thành phần gạo lứt sấy khô pha trà với nước nóng chờ phút là có thể,NEU_as_POS,0
29.182_c1,,NEUTRAL,POSITIVE,False,POS,0.9195,hạt sen còn tạm được,,NEU,hạt sen còn tạm được,NEU_as_POS,0
90.3_c2,,NEUTRAL,POSITIVE,False,POS,0.9195,còn phở thì nấu phải tầm 10p mới mềm,,NEU,còn phở thì nấu phải tầm 10p mới mềm,NEU_as_POS,0
64.1523_c1,,NEUTRAL,POSITIVE,False,POS,0.9195,tiền nào của đó,,NEU,tiền nào của đó,NEU_as_POS,0
68.1453_c1,,NEUTRAL,POSITIVE,False,POS,0.9195,hương vị:bình thường,,NEU,hương vị:bình thường,NEU_as_POS,0
87.1136_c5,,NEUTRAL,POSITIVE,False,POS,0.9195,tuy nhiên nhãn tem,,POS,tuy nhiên nhãn tem,NEU_as_POS,0
64.1289_c1,,NEUTRAL,POSITIVE,False,POS,0.9195,hàng tạm được,,NEU,hàng tạm được,NEU_as_POS,0
65.1331_c6,,NEUTRAL,POSITIVE,False,POS,0.9195,"con trẻ không biết không nhận cha, trương sinh đâm ghen tuông ngờ vực sự thủy chung của vũ nương",,POS,"con trẻ không biết không nhận cha, trương sinh đâm ghen tuông ngờ vực sự thủy chung của vũ nương",NEU_as_POS,0
47.618_c10,,NEUTRAL,POSITIVE,False,POS,0.9195,bịch này mình đếm được 88 quả,,NEU,bịch này mình đếm được 88 quả,NEU_as_POS,0
28.1014_c8,,NEUTRAL,POSITIVE,False,POS,0.9195,hạt thì mấy hạt khác mìnb chưa nấu thử,,POS,hạt thì mấy hạt khác mìnb chưa nấu thử,NEU_as_POS,0
78.697_c1,,NEUTRAL,POSITIVE,False,POS,0.9587,"lần đầu dùng thử được nửa hủ thấy cũng cũng,","lần đầu dùng thử được nửa hủ thấy cũng cũng,",NEU,"lần đầu dùng thử được nửa hủ thấy cũng cũng,",NEU_as_POS,0
18.469_c4,,NEUTRAL,POSITIVE,False,POS,0.9688,mà date 12 2023 lận,mà date 12 2023 lận,NEU,mà date 12 2023 lận,NEU_as_POS,0
88.2503_c2,,NEUTRAL,POSITIVE,False,POS,0.9724,nóng trong thì uống nhá,nóng trong thì uống nhá,NEU,nóng trong thì uống nhá,NEU_as_POS,0
54.1313_c1,,NEUTRAL,POSITIVE,False,POS,0.9881,Uống tạm được,uống tạm được,NEU,uống tạm được,NEU_as_POS,0
70.1013_c2,,NEUTRAL,POSITIVE,False,POS,0.9886,bao bì mẫu mã:gần giống như trong hình,bao bì mẫu mã:gần giống như trong hình,NEU,bao bì mẫu mã:gần giống như trong hình,NEU_as_POS,0
34.27_c1,,NEUTRAL,POSITIVE,False,POS,0.9886,"yến mạch hữu cơ, nấu các món ăn dặm cho bé","yến mạch hữu cơ, nấu các món ăn dặm cho bé",NEU,"yến mạch hữu cơ, nấu các món ăn dặm cho bé",NEU_as_POS,0
78.46_c1,,NEUTRAL,POSITIVE,False,POS,0.989,công dụng:hỗ trợ điều hoà kinh nguyệt,công dụng:hỗ trợ điều hoà kinh nguyệt,POS,công dụng:hỗ trợ điều hoà kinh nguyệt,NEU_as_POS,0
74.2385_c2,,NEUTRAL,POSITIVE,False,POS,0.9937,h mua lại thấy chất giấm có vẻ đậm màu hơn dù đã lắng cái xuống đáy,h mua lại thấy chất giấm có vẻ đậm màu hơn dù đã lắng cái xuống đáy,NEU,h mua lại thấy chất giấm có vẻ đậm màu hơn dù đã lắng cái xuống đáy,NEU_as_POS,0
11.975_c9,,NEUTRAL,POSITIVE,False,POS,0.9987,mk còn mua 2 gói gạo của shop nhg chưa thử được không biết có bị sít rịt gì không,mk còn mua 2 gói gạo của shop nhg chưa thử được không biết có bị sít rịt gì không,NEG,mk còn mua 2 gói gạo của shop nhg chưa thử được không biết có bị sít rịt gì không,NEU_as_POS,0
69.17_c5,,NEUTRAL,POSITIVE,False,POS,0.9996,yaour sinh tố rau trộn cần tây đều có thể bỏ vào,yaour sinh tố rau trộn cần tây đều có thể bỏ vào,NEU,yaour sinh tố rau trộn cần tây đều có thể bỏ vào,NEU_as_POS,0
69.17_c4,,NEUTRAL,POSITIVE,False,POS,0.9997,pha với nhiều loại bột uống giảm cân đẹp da,pha với nhiều loại bột uống giảm cân đẹp da,NEU,pha với nhiều loại bột uống giảm cân đẹp da,NEU_as_POS,0
27.492_c6,,NEUTRAL,NEGATIVE,False,NEG,0.5086,chưa biết chất lượng hạt khác nhau không,chưa biết chất lượng hạt khác nhau không,NEU,chưa biết chất lượng hạt khác nhau không,NEU_as_NEG,1
72.34_c2,,NEUTRAL,NEGATIVE,False,NEG,0.5264,hương vị:không,hương vị:không,NEU,hương vị:không,NEU_as_NEG,1
43.17_c3,,NEUTRAL,NEGATIVE,False,NEG,0.6294,trái thì cũng sẽ có trái to và nhỏ và vụn chứ không phải trái nào cũng bự,trái thì cũng sẽ có trái to và nhỏ và vụn chứ không phải trái nào cũng bự,NEU,trái thì cũng sẽ có trái to và nhỏ và vụn chứ không phải trái nào cũng bự,NEU_as_NEG,1
83.34_c2,,NEUTRAL,NEGATIVE,False,NEG,0.8081,giá không có đắt cũng không rẻ,giá không có đắt cũng không rẻ,NEU,giá không có đắt cũng không rẻ,NEU_as_NEG,1
69.141_c8,,NEUTRAL,NEGATIVE,False,NEG,0.8922,chỉ giúp chống đói tạm thời trong khoảng 30 phút,chỉ giúp chống đói tạm thời trong khoảng 30 phút,NEU,chỉ giúp chống đói tạm thời trong khoảng 30 phút,NEU_as_NEG,1
95.102_c1,,NEUTRAL,NEGATIVE,False,NEG,0.9953,chỉ có 3 gói bánh ăn thử sop,chỉ có 3 gói bánh ăn thử sop,NEU,chỉ có 3 gói bánh ăn thử sop,NEU_as_NEG,1
64.439_c3,,NEUTRAL,NEGATIVE,False,NEG,0.9957,hạt thì có hạt to nhỏ lẫn nhau,hạt thì có hạt to nhỏ lẫn nhau,NEU,hạt thì có hạt to nhỏ lẫn nhau,NEU_as_NEG,1
47.34_c7,,NEUTRAL,NEGATIVE,False,NEG,0.9971,bịch 1 không,bịch 1 không,NEU,bịch 1 không,NEU_as_NEG,1
14.1297_c10,,POSITIVE,NEUTRAL,False,NEU,0.6439,bố mình nghĩ mình đang nấu xôi,bố mình nghĩ mình đang nấu xôi,POS,bố mình nghĩ mình đang nấu xôi,POS_as_NEU,2
78.552_c1,,POSITIVE,NEUTRAL,False,NEU,0.957,"bỏ tủ lạnh dễ ăn hơn,","bỏ tủ lạnh dễ ăn hơn,",POS,"bỏ tủ lạnh dễ ăn hơn,",POS_as_NEU,2
83.34_c3,,POSITIVE,NEUTRAL,False,NEU,0.9968,đường mía này dùng cá thơm độ ngọt dịu không ngọt cắt như đường tinh luyện,đường mía này dùng cá thơm độ ngọt dịu không ngọt cắt như đường tinh luyện,POS,đường mía này dùng cá thơm độ ngọt dịu không ngọt cắt như đường tinh luyện,POS_as_NEU,2
84.301_c3,,POSITIVE,NEUTRAL,False,NEU,0.9986,but very good,but very good,POS,but very good,POS_as_NEU,2
7.208_c5,,POSITIVE,NEUTRAL,False,NEU,0.9997,gói sạch sẽ không dính dầu,gói sạch sẽ không dính dầu,POS,gói sạch sẽ không dính dầu,POS_as_NEU,2
72.529_c1,,NEGATIVE,NEUTRAL,False,NEU,0.7537,cá nhân mình thấy mấy em này hơi khó nấu cho người đầu tiên mới sử dụng,cá nhân mình thấy mấy em này hơi khó nấu cho người đầu tiên mới sử dụng,NEG,cá nhân mình thấy mấy em này hơi khó nấu cho người đầu tiên mới sử dụng,NEG_as_NEU,3
45.1517_c10,,NEGATIVE,NEUTRAL,False,NEU,0.829,mọi người nên cân nhắc vì giá cũng không rẻ hơn các shop khác nhưng chất lượng thì không bằng cảm nhận cá nhân của mình,mọi người nên cân nhắc vì giá cũng không rẻ hơn các shop khác nhưng chất lượng thì không bằng cảm nhận cá nhân của mình,NEG,mọi người nên cân nhắc vì giá cũng không rẻ hơn các shop khác nhưng chất lượng thì không bằng cảm nhận cá nhân của mình,NEG_as_NEU,3
18.469_c5,,NEGATIVE,NEUTRAL,False,NEU,0.8659,cũng không rõ shop chạy date hay sao chứ có mọt là hàng cũ roài,cũng không rõ shop chạy date hay sao chứ có mọt là hàng cũ roài,NEG,cũng không rõ shop chạy date hay sao chứ có mọt là hàng cũ roài,NEG_as_NEU,3
47.41_c5,,NEGATIVE,NEUTRAL,False,NEU,0.8876,nhưng quả không to như trứng gà đâu ạ,nhưng quả không to như trứng gà đâu ạ,NEG,nhưng quả không to như trứng gà đâu ạ,NEG_as_NEU,3
27.492_c3,,NEGATIVE,NEUTRAL,False,NEU,0.9344,không phải tự ghi tên hạt lên túi,không phải tự ghi tên hạt lên túi,NEG,không phải tự ghi tên hạt lên túi,NEG_as_NEU,3
24.1285_c4,,NEGATIVE,NEUTRAL,False,NEU,0.9581,còn 1 bịch thì không được hút,còn 1 bịch thì không được hút,NEG,còn 1 bịch thì không được hút,NEG_as_NEU,3
86.225_c1,,NEGATIVE,NEUTRAL,False,NEU,0.9605,mình tưởng to lắm,mình tưởng to lắm,NEG,mình tưởng to lắm,NEG_as_NEU,3
72.529_c2,,NEGATIVE,NEUTRAL,False,NEU,0.9778,nếu bạn là người muốn ăn nhanh gọn lẹ thì những em này không hợp đâu nha vì nấu và ngâm khá lâu,nếu bạn là người muốn ăn nhanh gọn lẹ thì những em này không hợp đâu nha vì nấu và ngâm khá lâu,NEG,nếu bạn là người muốn ăn nhanh gọn lẹ thì những em này không hợp đâu nha vì nấu và ngâm khá lâu,NEG_as_NEU,3
45.2852_c10,,POSITIVE,NEGATIVE,False,NEG,0.9966,shop 1đổi 1,shop 1đổi 1,POS,shop 1đổi 1,POS_as_NEG,4
14.1297_c8,,POSITIVE,NEGATIVE,False,NEG,0.9989,ăn giống mùi gạo nếp cẩm trong sữa chua nếp cẩm,ăn giống mùi gạo nếp cẩm trong sữa chua nếp cẩm,POS,ăn giống mùi gạo nếp cẩm trong sữa chua nếp cẩm,POS_as_NEG,4
70.749_c1,,NEGATIVE,POSITIVE,False,POS,0.5783,do dịch nên giao hàng hơi lâu,do dịch nên giao hàng hơi lâu,NEG,do dịch nên giao hàng hơi lâu,NEG_as_POS,5
27.78_c3,,NEGATIVE,POSITIVE,False,POS,0.838,hạt sen thì sượng,hạt sen thì sượng,NEG,hạt sen thì sượng,NEG_as_POS,5
45.1871_c11,,NEGATIVE,POSITIVE,False,POS,0.9195,và mình thì thấy vị không giống như loại táo bịch nhỏ mà shop tặng: ngọt thanh,,NEG,và mình thì thấy vị không giống như loại táo bịch nhỏ mà shop tặng: ngọt thanh,NEG_as_POS,5
67.2115_c5,,NEGATIVE,POSITIVE,False,POS,0.9195,có nt chưa thấy shop trả lời,,NEG,có nt chưa thấy shop trả lời,NEG_as_POS,5
17.78_c1,,NEGATIVE,POSITIVE,False,POS,0.9195,được bịch hạt chia như bị rạch,,NEG,được bịch hạt chia như bị rạch,NEG_as_POS,5
28.126_c1,,NEGATIVE,POSITIVE,False,POS,0.9195,"qua mới nhận hàng mình thấy đóng gói rất đẹp, chắc chắn nên đã đánh giá 5 sao cho sản phẩm. tuy nhiên nay mình nấu 1 nồi chè gồm đậu xanh, đậu đen, đậu đỏ hạt to, mè đen và đường phèn khoảng 30-40g mỗi loại thì khi mình múc chén chè đầu tiên để đút cho bé nhà mình ăn khi đút có thấy 1 đoạn sợi chỉ màu trắng, vì lần đầu nên mình cũng chỉ nhặt vứt đi. tuy nhiên, đến chén thứ 2 mình múc cho mình ăn thì lại thêm 1 sợi nữa như hình mình chụp, chén sau nữa mình đã phải cẩn thận đảo lên để tìm thì lại thấy 1 sợi ngắn nữa. mình không biết đã b nào sử dụng và gặp như mình không nhưng với 1 nồi chè nhỏ mà 3-4 sợi chỉ như thế này là quá nguy hiểm, trẻ em ăn không để ý rất sợ, nên mình phải lên sửa lại feedback để mọi người thấy mà cẩn thận hơn. mình không biết nó nằm trong nguyên liệu nào nhưng tất cả những nguyên liệu của nồi chè này mình đều mua của shop này hôm qua",,NEG,"qua mới nhận hàng mình thấy đóng gói rất đẹp, chắc chắn nên đã đánh giá 5 sao cho sản phẩm. tuy nhiên nay mình nấu 1 nồi chè gồm đậu xanh, đậu đen, đậu đỏ hạt to, mè đen và đường phèn khoảng 30-40g mỗi loại thì khi mình múc chén chè đầu tiên để đút cho bé nhà mình ăn khi đút có thấy 1 đoạn sợi chỉ màu trắng, vì lần đầu nên mình cũng chỉ nhặt vứt đi. tuy nhiên, đến chén thứ 2 mình múc cho mình ăn thì lại thêm 1 sợi nữa như hình mình chụp, chén sau nữa mình đã phải cẩn thận đảo lên để tìm thì lại thấy 1 sợi ngắn nữa. mình không biết đã b nào sử dụng và gặp như mình không nhưng với 1 nồi chè nhỏ mà 3-4 sợi chỉ như thế này là quá nguy hiểm, trẻ em ăn không để ý rất sợ, nên mình phải lên sửa lại feedback để mọi người thấy mà cẩn thận hơn. mình không biết nó nằm trong nguyên liệu nào nhưng tất cả những nguyên liệu của nồi chè này mình đều mua của shop này hôm qua",NEG_as_POS,5
53.64_c11,,NEGATIVE,POSITIVE,False,POS,0.926,chăm chút phần đóng gói xíu thể hiện sự tôn trọng sản phẩm của mình cũng như sự tận tâm trong việc cung cấp cho khách,chăm chút phần đóng gói xíu thể hiện sự tôn trọng sản phẩm của mình cũng như sự tận tâm trong việc cung cấp cho khách,NEG,chăm chút phần đóng gói xíu thể hiện sự tôn trọng sản phẩm của mình cũng như sự tận tâm trong việc cung cấp cho khách,NEG_as_POS,5
45.2034_c7,,NEGATIVE,POSITIVE,False,POS,0.9969,mìn mua ở shop khác táo như này 3kg 125k mà ngọt chứ không nhạt như này,mìn mua ở shop khác táo như này 3kg 125k mà ngọt chứ không nhạt như này,NEG,mìn mua ở shop khác táo như này 3kg 125k mà ngọt chứ không nhạt như này,NEG_as_POS,5
70.1933_c3,,NEGATIVE,POSITIVE,False,POS,0.9984,hương vị:tan mạnh không có béo cũng cũng không có bị ngọt mà nó rất là mặn,hương vị:tan mạnh không có béo cũng cũng không có bị ngọt mà nó rất là mặn,NEG,hương vị:tan mạnh không có béo cũng cũng không có bị ngọt mà nó rất là mặn,NEG_as_POS,5
