batch_id,review_id,clause_id_final,clause_text,clause_text_normalized,split_source,sentiment_polarity_hint,same_aspect_mixed_flag,different_aspect_mixed_flag,keep_for_absa,need_human_review,llm_confidence,need_human_review_original,has_extended_flags,in_iaa_gold_sample,annotation_source,aspect_hint_llm,complaint_severity_llm,praise_type_llm,contains_green_signal_llm,hedge_type_llm,aspect_hint,complaint_severity,praise_type,contains_green_signal,hedge_type,aspect_hint_source,complaint_severity_source,praise_type_source,contains_green_signal_source,hedge_type_source,green_skepticism_detail_llm,extended_source_batch_id
batch_001,1.189,1.189_c1,"giao hàng nhanh khủng khiếp, chỉ 1.5 ngày là đã nhận được hàng","giao hàng nhanh khủng khiếp, chỉ 1.5 ngày là đã nhận được hàng",kept_43b,POS,False,False,False,True,low,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.189,1.189_c2,"shop đóng gói sản phẩm cực kỳ cẩn thận, có bọc chống sốc đầy đủ","shop đóng gói sản phẩm cực kỳ cẩn thận, có bọc chống sốc đầy đủ",kept_43b,POS,False,False,False,True,low,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.189,1.189_c3,"chất lượng sản phẩm: đúng như mô tả, chất liệu tốt, màu sắc đẹp","chất lượng sản phẩm: đúng như mô tả, chất liệu tốt, màu sắc đẹp",kept_43b,POS,False,False,False,True,low,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.189,1.189_c4,mình đã dùng thử và rất hài lòng với hiệu suất,mình đã dùng thử và rất hài lòng với hiệu suất,kept_43b,POS,False,False,False,True,low,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.189,1.189_c5,"dịch vụ: shop tư vấn nhiệt tình, trả lời tin nhắn nhanh","dịch vụ: shop tư vấn nhiệt tình, trả lời tin nhắn nhanh",merged_llm,POS,False,False,False,True,low,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.189,1.189_c6,giá cả: mức giá rất hợp lý so với chất lượng nhận được,giá cả: mức giá rất hợp lý so với chất lượng nhận được,merged_llm,POS,False,False,False,True,low,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.189,1.189_c7,rất hài lòng với trải nghiệm mua hàng này,rất hài lòng với trải nghiệm mua hàng này,kept_43b,POS,False,False,False,True,low,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.189,1.189_c8,chắc chắn sẽ quay lại ủng hộ shop trong tương lai,chắc chắn sẽ quay lại ủng hộ shop trong tương lai,kept_43b,POS,False,False,False,True,low,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.28,1.28_c1,hương vị:k mui,hương vị:k mui,resplit_llm,NEU,False,False,True,False,high,True,True,False,llm_extended,A1_product,none,none,False,none,A1_product,none,none,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_049
batch_001,1.28,1.28_c2,bao bì mẫu mã:dung,bao bì mẫu mã:dung,resplit_llm,POS,False,False,True,False,high,True,True,False,llm_extended,A2_label,moderate,product,False,none,A2_label,moderate,product,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_088
batch_001,1.28,1.28_c3,mua lần thứ n..n.nn rồi,mua lần thứ n..n.nn rồi,resplit_llm,NEU,False,False,False,False,high,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.28,1.28_c4,hàng chất lượng,hàng chất lượng,resplit_llm,POS,False,False,True,False,high,True,True,True,human_gold_iaa,A1_product,none,product,False,none,A1_product,none,product,False,none,human_gold_iaa,human_gold_iaa,human_gold_iaa,human_gold_iaa,human_gold_iaa,,batch_ext_014
batch_001,1.28,1.28_c5,giao hàng siêu siêu nhanh,giao hàng siêu siêu nhanh,resplit_llm,POS,False,False,True,False,high,True,True,True,human_gold_iaa,A3_logistics,none,logistics,False,none,A3_logistics,none,logistics,False,none,human_gold_iaa,human_gold_iaa,human_gold_iaa,human_gold_iaa,human_gold_iaa,,batch_ext_062
batch_001,1.28,1.28_c6,"shop gói hàng cẩn thận lắm, có cả phiếu bảo hàng","shop gói hàng cẩn thận lắm, có cả phiếu bảo hàng",kept_43b,POS,False,False,True,False,high,True,True,True,human_gold_iaa,A3_logistics,none,logistics,False,none,A3_logistics,none,logistics,False,none,human_gold_iaa,human_gold_iaa,human_gold_iaa,human_gold_iaa,human_gold_iaa,,batch_ext_037
batch_001,1.28,1.28_c7,nói chung 10 điểm dịch vụ,nói chung 10 điểm dịch vụ,kept_43b,POS,False,False,True,False,high,True,True,False,llm_extended,A1_product,none,product,False,softener,A1_product,none,product,False,softener,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_066
batch_001,1.28,1.28_c8,hy vọng chất lượng sản phẩm cũng 10 điểm không có,hy vọng chất lượng sản phẩm cũng 10 điểm không có,kept_43b,POS,False,False,False,False,high,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.28,1.28_c9,shop cứ như vậy nhé ạ. đừng vì lợi nhuận mà làm kém chất lượng,shop cứ như vậy nhé ạ. đừng vì lợi nhuận mà làm kém chất lượng,merged_llm,NEG,False,False,True,False,high,True,True,False,llm_extended,A4_service,moderate,service,False,none,A4_service,moderate,service,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_106
batch_001,1.28,1.28_c10,sẽ ủng hộ lâu dài,sẽ ủng hộ lâu dài,kept_43b,POS,False,False,False,False,medium,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.28,1.28_c11,anh giao hành chuyên nghiệp,anh giao hành chuyên nghiệp,kept_43b,POS,False,False,True,False,high,True,True,False,llm_extended,A3_logistics,none,product,False,none,A3_logistics,none,product,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_031
batch_001,1.305,1.305_c1,sản phẩm đúng mô tả,sản phẩm đúng mô tả,kept_43b,POS,False,False,False,False,medium,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.305,1.305_c2,chất lượng tốt,chất lượng tốt,kept_43b,POS,False,False,False,False,medium,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.305,1.305_c3,giao hàng nhanh,giao hàng nhanh,kept_43b,POS,False,False,False,False,medium,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.305,1.305_c4,shop phục vụ nhiệt tình,shop phục vụ nhiệt tình,kept_43b,POS,False,False,False,False,medium,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.305,1.305_c5,sẽ ủng hộ lần sau,sẽ ủng hộ lần sau,kept_43b,POS,False,False,False,False,medium,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.305,1.305_c6,đóng gói cẩn thận,đóng gói cẩn thận,kept_43b,POS,False,False,False,False,medium,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.305,1.305_c7,hàng đẹp như hình,hàng đẹp như hình,kept_43b,POS,False,False,False,False,medium,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.305,1.305_c8,giá cả hợp lý,giá cả hợp lý,kept_43b,POS,False,False,False,False,medium,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.305,1.305_c9,rất hài lòng,rất hài lòng,kept_43b,POS,False,False,False,False,medium,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.305,1.305_c10,giao hàng siêu tốc,giao hàng siêu tốc,kept_43b,POS,False,False,False,False,medium,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.305,1.305_c11,sản phẩm dùng ổn,sản phẩm dùng ổn,kept_43b,POS,False,False,False,False,medium,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.305,1.305_c12,đáng tiền,đáng tiền,kept_43b,POS,False,False,False,False,medium,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
batch_001,1.305,1.305_c13,cảm ơn shop,cảm ơn shop,kept_43b,POS,False,False,False,False,medium,True,False,False,core_only,,,,,,,none,none,False,none,missing_extended,llm_extended,llm_extended,llm_extended,llm_extended,,
