clause_id_final,iaa_batch_id,label_gold,label_pred,agree,clause_pred_raw,confidence,baseline_pred,visobert_correct,baseline_correct
27.78_c1,,NEGATIVE,NEGATIVE,True,NEG,0.9761,NEGATIVE,True,True
45.1871_c11,,NEGATIVE,POSITIVE,False,POS,0.9195,NEGATIVE,False,True
65.1628_c9,,POSITIVE,POSITIVE,True,POS,0.9195,POSITIVE,True,True
95.498_c1,,NEGATIVE,NEGATIVE,True,NEG,0.7048,NEGATIVE,True,True
45.1127_c7,,POSITIVE,POSITIVE,True,POS,0.9195,POSITIVE,True,True
74.1694_c11,,NEGATIVE,NEGATIVE,True,NEG,0.9989,NEGATIVE,True,True
18.469_c5,,NEGATIVE,NEUTRAL,False,NEU,0.8659,NEGATIVE,False,True
45.711_c4,,POSITIVE,POSITIVE,True,POS,0.9994,POSITIVE,True,True
27.492_c3,,NEGATIVE,NEUTRAL,False,NEU,0.9344,NEGATIVE,False,True
45.47_c2,,NEUTRAL,POSITIVE,False,POS,0.789,POSITIVE,False,False
45.2852_c10,,POSITIVE,NEGATIVE,False,NEG,0.9966,NEGATIVE,False,False
53.58_c2,,NEGATIVE,NEGATIVE,True,NEG,0.998,NEGATIVE,True,True
84.301_c3,,POSITIVE,NEUTRAL,False,NEU,0.9986,POSITIVE,False,True
105.1098_c1,,POSITIVE,POSITIVE,True,POS,0.9982,POSITIVE,True,True
74.1386_c1,,NEUTRAL,POSITIVE,False,POS,0.7621,NEUTRAL,False,True
27.492_c6,,NEUTRAL,NEGATIVE,False,NEG,0.5086,POSITIVE,False,False
18.469_c4,,NEUTRAL,POSITIVE,False,POS,0.9688,NEUTRAL,False,True
89.8_c3,,POSITIVE,POSITIVE,True,POS,0.9995,POSITIVE,True,True
67.2115_c3,,NEUTRAL,POSITIVE,False,POS,0.9195,POSITIVE,False,False
70.1013_c2,,NEUTRAL,POSITIVE,False,POS,0.9886,NEUTRAL,False,True
74.186_c10,,NEGATIVE,NEGATIVE,True,NEG,0.9988,NEGATIVE,True,True
45.1517_c7,,NEGATIVE,NEGATIVE,True,NEG,0.9978,NEGATIVE,True,True
43.29_c5,,POSITIVE,POSITIVE,True,POS,0.9994,POSITIVE,True,True
70.1933_c3,,NEGATIVE,POSITIVE,False,POS,0.9984,NEGATIVE,False,True
11.975_c5,,NEGATIVE,NEGATIVE,True,NEG,0.9823,NEGATIVE,True,True
7.208_c5,,POSITIVE,NEUTRAL,False,NEU,0.9997,NEGATIVE,False,False
96.45_c1,,POSITIVE,POSITIVE,True,POS,0.9982,POSITIVE,True,True
105.348_c1,,NEUTRAL,POSITIVE,False,POS,0.9195,NEUTRAL,False,True
