batch_id,review_id,clause_id_final,clause_text,clause_text_normalized,split_source,sentiment_polarity_hint,same_aspect_mixed_flag,different_aspect_mixed_flag,keep_for_absa,need_human_review,llm_confidence,need_human_review_original,has_extended_flags,in_iaa_gold_sample,annotation_source,aspect_hint_llm,complaint_severity_llm,praise_type_llm,contains_green_signal_llm,hedge_type_llm,aspect_hint,complaint_severity,praise_type,contains_green_signal,hedge_type,aspect_hint_source,complaint_severity_source,praise_type_source,contains_green_signal_source,hedge_type_source,green_skepticism_detail_llm,extended_source_batch_id,split_x,pred_aspect,split_y,silver_aspect,silver_sentiment,pred_sentiment,pred_sentiment_raw,confidence
batch_001,1.28,1.28_c1,hương vị:k mui,hương vị:k mui,resplit_llm,NEU,False,False,True,False,high,True,True,False,llm_extended,A1_product,none,none,False,none,A1_product,none,none,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_049,train,A1_product,train,A1_product,NEU,NEU,NEU,0.7765
batch_001,1.28,1.28_c2,bao bì mẫu mã:dung,bao bì mẫu mã:dung,resplit_llm,POS,False,False,True,False,high,True,True,False,llm_extended,A2_label,moderate,product,False,none,A2_label,moderate,product,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_088,train,A2_label,train,A2_label,POS,NEU,NEU,0.9929
batch_001,1.28,1.28_c4,hàng chất lượng,hàng chất lượng,resplit_llm,POS,False,False,True,False,high,True,True,True,human_gold_iaa,A1_product,none,product,False,none,A1_product,none,product,False,none,human_gold_iaa,human_gold_iaa,human_gold_iaa,human_gold_iaa,human_gold_iaa,,batch_ext_014,train,A1_product,train,A1_product,POS,POS,POS,0.9997
batch_001,1.28,1.28_c5,giao hàng siêu siêu nhanh,giao hàng siêu siêu nhanh,resplit_llm,POS,False,False,True,False,high,True,True,True,human_gold_iaa,A3_logistics,none,logistics,False,none,A3_logistics,none,logistics,False,none,human_gold_iaa,human_gold_iaa,human_gold_iaa,human_gold_iaa,human_gold_iaa,,batch_ext_062,train,A3_logistics,train,A3_logistics,POS,POS,POS,0.9996
batch_001,1.28,1.28_c6,"shop gói hàng cẩn thận lắm, có cả phiếu bảo hàng","shop gói hàng cẩn thận lắm, có cả phiếu bảo hàng",kept_43b,POS,False,False,True,False,high,True,True,True,human_gold_iaa,A3_logistics,none,logistics,False,none,A3_logistics,none,logistics,False,none,human_gold_iaa,human_gold_iaa,human_gold_iaa,human_gold_iaa,human_gold_iaa,,batch_ext_037,train,A3_logistics,train,A3_logistics,POS,POS,POS,0.9997
batch_001,1.28,1.28_c7,nói chung 10 điểm dịch vụ,nói chung 10 điểm dịch vụ,kept_43b,POS,False,False,True,False,high,True,True,False,llm_extended,A1_product,none,product,False,softener,A1_product,none,product,False,softener,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_066,train,A1_product,train,A1_product,POS,POS,POS,0.9975
batch_001,1.28,1.28_c9,shop cứ như vậy nhé ạ. đừng vì lợi nhuận mà làm kém chất lượng,shop cứ như vậy nhé ạ. đừng vì lợi nhuận mà làm kém chất lượng,merged_llm,NEG,False,False,True,False,high,True,True,False,llm_extended,A4_service,moderate,service,False,none,A4_service,moderate,service,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_106,train,A4_service,train,A4_service,NEG,POS,POS,0.999
batch_001,1.28,1.28_c11,anh giao hành chuyên nghiệp,anh giao hành chuyên nghiệp,kept_43b,POS,False,False,True,False,high,True,True,False,llm_extended,A3_logistics,none,product,False,none,A3_logistics,none,product,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_031,train,A3_logistics,train,A3_logistics,POS,POS,POS,0.9994
batch_001,1.47,1.47_c1,hương vị:thom,hương vị:thom,resplit_llm,POS,False,False,True,False,high,True,True,False,llm_extended,A1_product,none,product,False,none,A1_product,none,product,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_040,train,A1_product,train,A1_product,POS,NEU,NEU,0.994
batch_001,1.47,1.47_c2,bao bì mẫu mã:tot,bao bì mẫu mã:tot,resplit_llm,POS,False,False,True,False,high,True,True,False,llm_extended,A2_label,moderate,product,False,none,A2_label,moderate,product,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_069,train,A2_label,train,A2_label,POS,NEU,NEU,0.5216
batch_001,1.47,1.47_c4,shop bọc cẩn thận,shop bọc cẩn thận,kept_43b,POS,False,False,True,False,high,True,True,False,llm_extended,A3_logistics,none,logistics,False,none,A3_logistics,none,logistics,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_067,train,A3_logistics,train,A3_logistics,POS,POS,POS,0.9994
batch_001,1.47,1.47_c5,giao hàng nhanh,giao hàng nhanh,kept_43b,POS,False,False,True,False,high,True,True,True,human_gold_iaa,A3_logistics,none,logistics,False,none,A3_logistics,none,logistics,False,none,human_gold_iaa,human_gold_iaa,human_gold_iaa,human_gold_iaa,human_gold_iaa,,batch_ext_078,train,A3_logistics,train,A3_logistics,POS,POS,POS,0.9997
batch_001,1.47,1.47_c7,bình thường mua big c 25k mà săn 22k không phải đi ship giao tận nơi,bình thường mua big c 25k mà săn 22k không phải đi ship giao tận nơi,kept_43b,POS,False,False,True,False,high,True,True,False,llm_extended,A5_price,none,value,False,none,A5_price,none,value,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_033,train,A5_price,train,A5_price,POS,NEG,NEG,0.9984
batch_001,1.47,1.47_c9,ship giao hàng nhiệt tình,ship giao hàng nhiệt tình,resplit_llm,POS,False,False,True,False,high,True,True,False,llm_extended,A3_logistics,none,service,False,none,A3_logistics,none,service,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_109,train,A3_logistics,train,A3_logistics,POS,POS,POS,0.9997
batch_001,1.47,1.47_c10,rẻ hơn rất nhiều,rẻ hơn rất nhiều,resplit_llm,POS,False,False,True,False,high,True,True,False,llm_extended,A5_price,none,value,False,none,A5_price,none,value,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_066,train,A5_price,train,A5_price,POS,POS,POS,0.9982
batch_002,1.8,1.8_c1,bao bì mẫu mã:đẹp,bao bì mẫu mã:đẹp,resplit_llm,POS,False,False,True,False,high,True,True,False,llm_extended,A2_label,moderate,product,False,none,A2_label,moderate,product,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_022,train,A2_label,train,A2_label,POS,POS,POS,0.8707
batch_002,1.8,1.8_c3,mình rất thích cách đóng hàng của shop,mình rất thích cách đóng hàng của shop,resplit_llm,POS,False,False,True,False,high,True,True,True,human_gold_iaa_override,A4_service,none,service,False,none,A3_logistics,none,logistics,False,none,human_gold_iaa,human_gold_iaa,human_gold_iaa,human_gold_iaa,human_gold_iaa,,batch_ext_100,train,A3_logistics,train,A3_logistics,POS,POS,POS,0.9997
batch_002,1.8,1.8_c4,hộp bìa dày dặn,hộp bìa dày dặn,kept_43b,POS,False,False,True,False,high,True,True,False,llm_extended,A3_logistics,none,product,False,none,A3_logistics,none,product,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_080,train,A3_logistics,train,A3_logistics,POS,POS,POS,0.9996
batch_002,1.8,1.8_c5,không bị méo,không bị méo,kept_43b,POS,False,False,True,False,high,True,True,False,llm_extended,A1_product,moderate,product,False,none,A1_product,moderate,product,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_110,train,A1_product,train,A1_product,POS,POS,POS,0.9907
batch_002,1.8,1.8_c7,shipper thân thiện,shipper thân thiện,kept_43b,POS,False,False,True,False,high,True,True,False,llm_extended,A1_product,none,product,False,none,A1_product,none,product,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_062,train,A1_product,train,A1_product,POS,POS,POS,0.9996
batch_002,1.8,1.8_c8,nhưng lúc đó mình ngủ không biết làm họ đợi mình đến 2h chiều nhưug không hề tức giận mà vẫn thân thiệt,nhưng lúc đó mình ngủ không biết làm họ đợi mình đến 2h chiều nhưug không hề tức giận mà vẫn thân thiệt,kept_43b,POS,False,False,True,False,high,True,True,False,llm_extended,A1_product,mild,product,False,none,A1_product,mild,product,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_114,train,A1_product,train,A1_product,POS,POS,POS,0.999
batch_002,1.8,1.8_c9,shop nhắn tin cũng nhiệt tình,shop nhắn tin cũng nhiệt tình,kept_43b,POS,False,False,True,False,high,True,True,False,llm_extended,A4_service,moderate,service,False,softener,A4_service,moderate,service,False,softener,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_016,train,A4_service,train,A4_service,POS,POS,POS,0.9997
batch_002,1.71,1.71_c1,shop gói hàng cẩn thận,shop gói hàng cẩn thận,kept_43b,POS,False,False,True,False,high,True,True,False,llm_extended,A3_logistics,none,logistics,False,none,A3_logistics,none,logistics,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_100,train,A3_logistics,train,A3_logistics,POS,POS,POS,0.9996
batch_002,1.71,1.71_c2,đủ số lượng 4 gói,đủ số lượng 4 gói,kept_43b,POS,False,False,True,False,high,True,True,False,llm_extended,A1_product,none,product,False,none,A1_product,none,product,False,none,llm_extended,llm_extended,llm_extended,llm_extended,llm_extended,,batch_ext_008,train,A1_product,train,A1_product,POS,POS,POS,0.9984
